SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Adult_curr_tob_smoking,dcid:country/AFG,2019,8.6
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/AFG,2019,2.6
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/AFG,2019,14.2
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/AGO,2016,1.8
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/AGO,2016,14.3
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/ALB,2018,4.6
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/ALB,2018,35.9
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/AND,2018,35.9
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/AND,2018,35.3
dcs:who/Adult_curr_tob_smoking,dcid:country/AND,2018,35.6
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/ARE,2018,15.7
dcs:who/Adult_curr_tob_smoking,dcid:country/ARE,2018,9.1
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/ARE,2018,2.4
dcs:who/Adult_curr_tob_smoking,dcid:country/ARM,2016,27.9
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/ARM,2016,1.8
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/ARM,2016,51.5
dcs:who/Adult_curr_tob_smoking,dcid:country/AZE,2020,18.0
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/AZE,2020,18.0
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/AZE,2020,0.0
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BDI,2017,1.4
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BDI,2017,13.7
dcs:who/Adult_curr_tob_smoking,dcid:country/BEL,2021,27.0
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BEL,2021,31.0
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BEL,2021,22.0
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BEN,2018,1.4
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BEN,2018,7.2
dcs:who/Adult_curr_tob_smoking,dcid:country/BFA,2021,9.1
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BFA,2021,0.5
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BFA,2021,18.2
dcs:who/Adult_curr_tob_smoking,dcid:country/BGD,2018,23.5
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BGD,2018,46.6
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BGD,2018,1.0
dcs:who/Adult_curr_tob_smoking,dcid:country/BGR,2019,36.2
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BGR,2019,27.5
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BGR,2019,45.9
dcs:who/Adult_curr_tob_smoking,dcid:country/BHR,2019,18.9
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BHR,2019,6.0
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BHR,2019,28.0
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BHS,2019,32.4
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BHS,2019,3.6
dcs:who/Adult_curr_tob_smoking,dcid:country/BHS,2019,17.4
dcs:who/Adult_curr_tob_smoking.SEX--F,dcid:country/BLR,2022,10.0
dcs:who/Adult_curr_tob_smoking.SEX--M,dcid:country/BLR,2022,42.0
dcs:who/Adult_curr_tob_smoking,dcid:country/BLR,2022,22.6
